City,Country,# of Days,"Distance (km, roundtrip)",long1,lat1,long2,lat2
Macau,China,1,80,114.177216,22.302711,113.543877,22.198746
Da Nang,Vietnam,5,"1,836",114.177216,22.302711,108.224136,16.075239
Taichung,Taiwan,3,"1,440",114.177216,22.302711,120.646744,24.16349
Phuket,Thailand,5,"4,616",114.177216,22.302711,98.338089,7.951933
Okinawa,Japan,4,"2,950",114.177216,22.302711,127.8013889,26.3358333
Phuket,Thailand,4,"4,616",114.177216,22.302711,98.338089,7.951933
Singapore,Singapore,11,"5,144",114.177216,22.302711,103.866991,1.354837
Sunshine Coast,Australia,8,13760,114.177216,22.302711,153.066667,-26.65
Guilin,China,4,988,114.177216,22.302711,110.2833333,25.2833333
Shanghai,China,3,"2,446",114.177216,22.302711,121.473842,31.230437
Macau,China,6,80,114.177216,22.302711,113.543877,22.198746
Sacramento,USA,18,"22,188",114.177216,22.302711,-121.494803,38.580657
Shenzhen,China,1,52,114.177216,22.302711,114.057865,22.543096
Shenzhen,China,1,52,114.177216,22.302711,114.057865,22.543096
Shenzhen,China,1,52,114.177216,22.302711,114.057865,22.543096
Shenzhen,China,1,52,114.177216,22.302711,114.057865,22.543096
Shenzhen,China,1,52,114.177216,22.302711,114.057865,22.543096
Shenzhen,China,1,52,114.177216,22.302711,114.057865,22.543096
Shenzhen,China,1,52,114.177216,22.302711,114.057865,22.543096
Shenzhen,China,1,52,114.177216,22.302711,114.057865,22.543096
Shenzhen,China,1,52,114.177216,22.302711,114.057865,22.543096
Shenzhen,China,1,52,114.177216,22.302711,114.057865,22.543096
Shenzhen,China,1,52,114.177216,22.302711,114.057865,22.543096
Shenzhen,China,1,52,114.177216,22.302711,114.057865,22.543096
